,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
0,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886,On the Road,IFC,744000.0,8000000,2012
1,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300,The Secret Life of Walter Mitty,Fox,58200000.0,129900000,2013
2,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116,A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014
3,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,Jurassic World,Uni.,652300000.0,"1,019.4",2015
4,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,The Rum Diary,FD,13100000.0,10800000,2011
5,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570,The Three Stooges,Fox,44300000.0,10500000,2012
6,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,Tangled,BV,200800000.0,391000000,2010
7,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,John Carter,BV,73100000.0,211100000,2012
8,tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller",6.0,195889,Cowboys & Aliens,Uni.,100200000.0,74600000,2011
9,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546,Dinner for Schmucks,P/DW,73000000.0,13800000,2010
10,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256,The A-Team,Fox,77200000.0,100000000,2010
11,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649,The Possession,LGF,49100000.0,36300000,2012
12,tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",7.1,283534,Real Steel,BV,85500000.0,213800000,2011
13,tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999,The Giver,Wein.,45100000.0,21900000,2014
14,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,Toy Story 3,BV,415000000.0,652000000,2010
15,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",7.4,228701,Lincoln,BV,182200000.0,93100000,2012
16,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",7.5,339338,Scott Pilgrim vs. the World,Uni.,31500000.0,16100000,2010
17,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",6.6,133355,Puss in Boots,P/DW,149300000.0,405700000,2011
18,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",7.5,487527,Wonder Woman,WB,412600000.0,409300000,2017
19,tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836,Life of Pi,Fox,125000000.0,484000000,2012
20,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",6.5,104465,The Crazies,Over.,39100000.0,15700000,2010
21,tt0455944,The Equalizer,The Equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302,The Equalizer,Sony,101500000.0,90800000,2014
22,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137,Captain America: The First Avenger,Par.,176700000.0,193900000,2011
23,tt0458413,A Long Way Down,A Long Way Down,2014,96.0,"Comedy,Drama",6.4,29260,A Long Way Down,Magn.,13300.0,7200000,2014
24,tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017,89.0,Drama,6.3,8727,The Only Living Boy in New York,RAtt.,624000.0,1900000,2017
25,tt0461336,Saving Private Perez,Salvando al Soldado Pérez,2011,105.0,"Adventure,Comedy,Western",6.0,1727,Saving Private Perez,LGF,1400000.0,7900000,2011
26,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327,Piranha 3D,W/Dim.,25000000.0,58200000,2010
27,tt0471042,Tower Heist,Tower Heist,2011,104.0,"Action,Comedy,Crime",6.2,125102,Tower Heist,Uni.,78000000.0,74900000,2011
28,tt0472181,The Smurfs,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577,The Smurfs,Sony,142600000.0,421100000,2011
29,tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254,The Mechanic,CBS,29100000.0,47000000,2011
30,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975,Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010
31,tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",6.3,111422,"Hail, Caesar!",Uni.,30500000.0,33100000,2016
32,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",6.8,173019,Unstoppable,Fox,81600000.0,86200000,2010
33,tt0477302,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,129.0,"Adventure,Drama,Mystery",6.9,93164,Extremely Loud & Incredibly Close,WB,31800000.0,23400000,2011
34,tt0478304,The Tree of Life,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266,The Tree of Life,FoxS,13300000.0,41000000,2011
35,tt0478970,Ant-Man,Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213,Ant-Man,BV,180200000.0,339100000,2015
36,tt0479997,Season of the Witch,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",5.4,85777,Season of the Witch,Rela.,24800000.0,66800000,2011
37,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",6.4,83876,The Losers,WB,23600000.0,5800000,2010
38,tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",5.9,113775,Hall Pass,WB (NL),45100000.0,38100000,2011
39,tt0481499,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",7.2,176699,The Croods,Fox,187200000.0,400000000,2013
40,tt0485985,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",5.9,31815,Red Tails,Fox,49900000.0,489000,2012
41,tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",5.9,54314,Something Borrowed,WB,39000000.0,21100000,2011
42,tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"Drama,History,Romance",6.2,15037,Tulip Fever,Wein.,2500000.0,5900000,2017
43,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",3.8,14700,Furry Vengeance,Sum.,17600000.0,18600000,2010
44,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",6.6,16086,Ramona and Beezus,Fox,26200000.0,1100000,2010
45,tt0498381,Rings,Rings,2017,102.0,"Drama,Horror,Mystery",4.5,34151,Rings,Par.,27800000.0,55300000,2017
46,tt0763831,A Thousand Words,A Thousand Words,2012,91.0,"Comedy,Drama",5.9,36387,A Thousand Words,P/DW,18500000.0,3600000,2012
47,tt0770703,What's Your Number?,What's Your Number?,2011,106.0,"Comedy,Romance",6.1,67922,What's Your Number?,Fox,14000000.0,16399999,2011
48,tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288,Man of Steel,WB,291000000.0,377000000,2013
49,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,The Wolfman,Uni.,62000000.0,77800000,2010
50,tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",6.8,50763,The Boxtrolls,Focus,50800000.0,58400000,2014
51,tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",5.9,67549,The Incredible Burt Wonderstone,WB (NL),22500000.0,4900000,2013
52,tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,"Biography,Drama",8.0,402462,Dallas Buyers Club,Focus,27300000.0,27900000,2013
53,tt0790724,Jack Reacher,Jack Reacher,2012,130.0,"Action,Crime,Thriller",7.0,284547,Jack Reacher,Par.,80100000.0,138300000,2012
54,tt0790736,R.I.P.D.,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",5.6,109078,R.I.P.D.,Uni.,33600000.0,44700000,2013
55,tt0795461,Scary Movie 5,Scary Movie 5,2013,86.0,Comedy,3.5,60139,Scary Movie 5,W/Dim.,32000000.0,46400000,2013
56,tt0800369,Thor,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264,Thor,Par.,181000000.0,268300000,2011
57,tt0803096,Warcraft,Warcraft,2016,123.0,"Action,Adventure,Fantasy",6.9,225557,Warcraft,Uni.,47400000.0,386300000,2016
58,tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",7.1,125583,It's Kind of a Funny Story,Focus,6400000.0,128000,2010
59,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",5.0,37939,Tooth Fairy,Fox,60000000.0,52400000,2010
60,tt0810819,The Danish Girl,The Danish Girl,2015,119.0,"Biography,Drama,Romance",7.1,146873,The Danish Girl,Focus,11100000.0,53100000,2015
61,tt0810913,Jack and Jill,Jack and Jill,2011,91.0,Comedy,3.3,71361,Jack and Jill,Sony,74200000.0,75500000,2011
62,tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",6.4,117245,She's Out of My League,Par.,32000000.0,17800000,2010
63,tt0816442,The Book Thief,The Book Thief,2013,131.0,"Drama,War",7.6,119023,The Book Thief,Fox,21500000.0,55100000,2013
64,tt0816692,Interstellar,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Interstellar,Par.,188000000.0,489400000,2014
65,tt0816711,World War Z,World War Z,2013,116.0,"Action,Adventure,Horror",7.0,553751,World War Z,Par.,202400000.0,337600000,2013
66,tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",5.7,107171,Valentine's Day,WB (NL),110500000.0,106000000,2010
67,tt0822847,Priest,Priest,2011,87.0,"Action,Adventure,Fantasy",5.7,108320,Priest,SGem,29100000.0,49200000,2011
68,tt0829150,Dracula Untold,Dracula Untold,2014,92.0,"Action,Drama,Fantasy",6.3,164829,Dracula Untold,Uni.,56300000.0,160800000,2014
69,tt0837562,Hotel Transylvania,Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",7.1,204571,Hotel Transylvania,Sony,148300000.0,210100000,2012
70,tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",7.6,322524,The Town,WB,92200000.0,61800000,2010
71,tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",7.0,120656,The Kids Are All Right,Focus,20800000.0,13900000,2010
72,tt0844993,Hoodwinked Too! Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,2011,86.0,"Animation,Comedy,Crime",4.8,11281,Hoodwinked Too! Hood vs. Evil,Wein.,10100000.0,6800000,2011
73,tt0848537,Epic,Epic,2013,102.0,"Adventure,Animation,Family",6.7,95318,Epic,Fox,107500000.0,160900000,2013
